SOP,UniversityRating,GREScore,TOEFLScore,LOR,CGPA,Research,ChanceofAdmit
4.5,4,337,118,4.5,9.65,1,0.92
4,4,324,107,4.5,8.87,1,0.76
3,3,316,104,3.5,8,1,0.72
3.5,3,322,110,2.5,8.67,1,0.8
2,2,314,103,3,8.21,0,0.65
4.5,5,330,115,3,9.34,1,0.9
3,3,321,109,4,8.2,1,0.75
3,2,308,101,4,7.9,0,0.68
2,1,302,102,1.5,8,0,0.5
3.5,3,323,108,3,8.6,0,0.45
3.5,3,325,106,4,8.4,1,0.52
4,4,327,111,4.5,9,1,0.84
4,4,328,112,4.5,9.1,1,0.78
4,3,307,109,3,8,1,0.62
3.5,3,311,104,2,8.2,1,0.61
3.5,3,314,105,2.5,8.3,0,0.54
4,3,317,107,3,8.7,0,0.66
4,3,319,106,3,8,1,0.65
4,3,318,110,3,8.8,0,0.63
3.5,3,303,102,3,8.5,0,0.62
3,3,312,107,2,7.9,1,0.64
3,4,325,114,2,8.4,0,0.7
5,5,328,116,5,9.5,1,0.94
5,5,334,119,4.5,9.7,1,0.95
4,5,336,119,3.5,9.8,1,0.97
4.5,5,340,120,4.5,9.6,1,0.94
4.5,5,322,109,3.5,8.8,0,0.76
1.5,2,298,98,2.5,7.5,1,0.44
2,1,295,93,2,7.2,0,0.46
1.5,2,310,99,2,7.3,0,0.54
3,2,300,97,3,8.1,1,0.65
4,3,327,103,4,8.3,1,0.74
3,4,338,118,4.5,9.4,1,0.91
4,5,340,114,4,9.6,1,0.9
4,5,331,112,5,9.8,1,0.94
5,5,320,110,5,9.2,1,0.88
4,2,299,106,4,8.4,0,0.64
1,1,300,105,2,7.8,0,0.58
3,1,304,105,1.5,7.5,0,0.52
4,2,307,108,3.5,7.7,0,0.48
3.5,3,308,110,3,8,1,0.46
2.5,2,316,105,2.5,8.2,1,0.49
2.5,2,313,107,2,8.5,1,0.53
4.5,4,332,117,4,9.1,0,0.87
4.5,5,326,113,4,9.4,1,0.91
5,5,322,110,4,9.1,1,0.88
4,5,329,114,5,9.3,1,0.86
4.5,5,339,119,4,9.7,0,0.89
