Week,MAPE,Demo
21,0.1589,HM_ABC25_64
22,0.1678,HM_ABC25_65
23,0.1723,HM_ABC25_66
24,0.168,HM_ABC25_67
25,0.1595,HM_ABC25_68
26,0.1841,HM_ABC25_69
27,0.1968,HM_ABC25_70
28,0.1547,HM_ABC25_71
29,0.1639,HM_ABC25_72
30,0.1538,HM_ABC25_73
31,0.1583,HM_ABC25_74
32,0.1756,HM_ABC25_75
33,0.1932,HM_ABC25_76
34,0.1902,HM_ABC25_77
35,0.1986,HM_ABC25_78
21,0.2053,M_ABC25_64
22,0.2439,M_ABC25_65
23,0.1666,M_ABC25_66
24,0.192,M_ABC25_67
25,0.2031,M_ABC25_68
26,0.2153,M_ABC25_69
27,0.2335,M_ABC25_70
28,0.206,M_ABC25_71
29,0.1892,M_ABC25_72
30,0.1831,M_ABC25_73
31,0.1561,M_ABC25_74
32,0.1811,M_ABC25_75
33,0.2137,M_ABC25_76
34,0.252,M_ABC25_77
35,0.2203,M_ABC25_78
