Time,Rating,Type
8:15:00 AM,2.3,Actual
8:30:00 AM,2.6,Actual
8:45:00 AM,2.4,Actual
9:00:00 AM,2.2,Actual
9:15:00 AM,2.4,Actual
9:30:00 AM,1.4,Actual
9:45:00 AM,1.3,Actual
10:00:00 AM,1.3,Actual
10:15:00 AM,1.4,Actual
10:30:00 AM,1.6,Actual
10:45:00 AM,1.9,Actual
11:00:00 AM,1.8,Actual
11:15:00 AM,2,Actual
11:30:00 AM,2,Actual
11:45:00 AM,2.1,Actual
12:00:00 PM,1.6,Actual
12:15:00 PM,1.8,Actual
12:30:00 PM,1.9,Actual
12:45:00 PM,1.8,Actual
1:00:00 PM,1.9,Actual
1:15:00 PM,2,Actual
1:30:00 PM,1.6,Actual
1:45:00 PM,1.9,Actual
2:00:00 PM,2.1,Actual
2:15:00 PM,2.1,Actual
2:30:00 PM,2.2,Actual
2:45:00 PM,2.3,Actual
3:00:00 PM,1.9,Actual
3:15:00 PM,1.9,Actual
3:30:00 PM,1.9,Actual
3:45:00 PM,1.8,Actual
4:00:00 PM,1.3,Actual
4:15:00 PM,1.2,Actual
4:30:00 PM,1.2,Actual
4:45:00 PM,1,Actual
5:00:00 PM,1.3,Actual
5:15:00 PM,1.4,Actual
5:30:00 PM,1.3,Actual
5:45:00 PM,1.6,Actual
6:00:00 PM,2,Actual
6:15:00 PM,1.5,Actual
6:30:00 PM,1.1,Actual
6:45:00 PM,1.5,Actual
7:00:00 PM,1.6,Actual
7:15:00 PM,1.9,Actual
7:30:00 PM,1.3,Actual
7:45:00 PM,1.1,Actual
8:00:00 PM,1.3,Actual
8:15:00 PM,1.2,Actual
8:30:00 PM,1.6,Actual
8:45:00 PM,1.8,Actual
9:00:00 PM,1.3,Actual
9:15:00 PM,2,Actual
9:30:00 PM,2,Actual
9:45:00 PM,2,Actual
10:00:00 PM,2,Actual
10:15:00 PM,2.2,Actual
10:30:00 PM,1.9,Actual
10:45:00 PM,1.6,Actual
11:00:00 PM,1.5,Actual
11:15:00 PM,1.5,Actual
11:30:00 PM,1.5,Actual
11:45:00 PM,1.4,Actual
12:00:00 AM,1.7,Actual
12:15:00 AM,1.3,Actual
12:30:00 AM,1.4,Actual
12:45:00 AM,1.4,Actual
1:00:00 AM,1.2,Actual
8:15:00 AM,1.2,Forecast
8:30:00 AM,1.3,Forecast
8:45:00 AM,1.5,Forecast
9:00:00 AM,1.4,Forecast
9:15:00 AM,1.5,Forecast
9:30:00 AM,1.5,Forecast
9:45:00 AM,1.5,Forecast
10:00:00 AM,1.5,Forecast
10:15:00 AM,1.4,Forecast
10:30:00 AM,1.4,Forecast
10:45:00 AM,1.3,Forecast
11:00:00 AM,1.4,Forecast
11:15:00 AM,1.6,Forecast
11:30:00 AM,1.7,Forecast
11:45:00 AM,1.6,Forecast
12:00:00 PM,1.6,Forecast
12:15:00 PM,1.6,Forecast
12:30:00 PM,1.7,Forecast
12:45:00 PM,1.7,Forecast
1:00:00 PM,1.5,Forecast
1:15:00 PM,1.9,Forecast
1:30:00 PM,1.9,Forecast
1:45:00 PM,2,Forecast
2:00:00 PM,1.8,Forecast
2:15:00 PM,2.2,Forecast
2:30:00 PM,2,Forecast
2:45:00 PM,2,Forecast
3:00:00 PM,1.7,Forecast
3:15:00 PM,1.9,Forecast
3:30:00 PM,1.8,Forecast
3:45:00 PM,1.7,Forecast
4:00:00 PM,1.7,Forecast
4:15:00 PM,1.6,Forecast
4:30:00 PM,1.5,Forecast
4:45:00 PM,1.5,Forecast
5:00:00 PM,1.4,Forecast
5:15:00 PM,1.4,Forecast
5:30:00 PM,1.3,Forecast
5:45:00 PM,1.1,Forecast
6:00:00 PM,1.2,Forecast
6:15:00 PM,1.7,Forecast
6:30:00 PM,1.5,Forecast
6:45:00 PM,1.5,Forecast
7:00:00 PM,1.5,Forecast
7:15:00 PM,1.4,Forecast
7:30:00 PM,1.2,Forecast
7:45:00 PM,1.4,Forecast
8:00:00 PM,1.2,Forecast
8:15:00 PM,1.2,Forecast
8:30:00 PM,1.3,Forecast
8:45:00 PM,1.4,Forecast
9:00:00 PM,1.4,Forecast
9:15:00 PM,1.9,Forecast
9:30:00 PM,2.4,Forecast
9:45:00 PM,2.3,Forecast
10:00:00 PM,2.2,Forecast
10:15:00 PM,2.1,Forecast
10:30:00 PM,1.8,Forecast
10:45:00 PM,1.9,Forecast
11:00:00 PM,2.1,Forecast
11:15:00 PM,2.3,Forecast
11:30:00 PM,2.4,Forecast
11:45:00 PM,2.1,Forecast
12:00:00 AM,1.9,Forecast
12:15:00 AM,1.8,Forecast
12:30:00 AM,1.6,Forecast
12:45:00 AM,1.6,Forecast
1:00:00 AM,1.6,Forecast
