Year,Month,Day,Return_t,Return_day_before
2012,1,3,0.99876143,0.99379948
2012,1,4,1.00334576,0.99876143
2012,1,5,0.99505374,1.00334576
2012,1,6,1.0034361,0.99505374
2012,1,9,1.00085976,1.0034361
2012,1,10,0.99638302,1.00085976
2012,1,11,0.99819477,0.99638302
2012,1,12,0.99687441,0.99819477
2012,1,13,1.00600286,0.99687441
2012,1,16,0.9968655,1.00600286
2012,1,17,0.99819854,0.9968655
2012,1,18,1.00189988,0.99819854
2012,1,19,0.99124294,1.00189988
2012,1,20,1.00113122,0.99124294
2012,1,23,1.00236228,1.00113122
2012,1,24,0.99464286,1.00236228
2012,1,25,0.9995303,0.99464286
2012,1,26,0.99756349,0.9995303
2012,1,27,1.00574929,0.99756349
2012,1,30,0.99680571,1.00574929
2012,1,31,0.99606962,0.99680571
2012,2,1,0.99878493,0.99606962
2012,2,2,1.00046755,0.99878493
2012,2,3,1.0024372,1.00046755
2012,2,6,0.99283388,1.0024372
2012,2,7,0.99953488,0.99283388
2012,2,8,1.00261145,0.99953488
2012,2,9,1.00383859,1.00261145
2012,2,10,0.9959903,1.00383859
2012,2,13,1.00459016,0.9959903
2012,2,14,0.99841003,1.00459016
2012,2,15,0.99803976,0.99841003
2012,2,16,1.00431237,0.99803976
2012,2,17,0.99868926,1.00431237
2012,2,20,1.00527059,0.99868926
2012,2,21,0.99952963,1.00527059
2012,2,22,0.9947595,0.99952963
2012,2,23,1.00037446,0.9947595
2012,2,24,0.99432188,1.00037446
2012,2,27,1.00280034,0.99432188
2012,2,28,1.00875706,1.00280034
2012,2,29,0.99727674,1.00875706
2012,3,1,1.00348662,0.99727674
2012,3,2,1.00037707,1.00348662
2012,3,5,1.00388,1.00037707
2012,3,6,1.00142153,1.00388
2012,3,7,1.00180385,1.00142153
2012,3,8,1.00572902,1.00180385
2012,3,9,1.00402646,1.00572902
2012,3,12,1.00144009,1.00402646
2012,3,13,1.00395181,1.00144009
2012,3,14,0.99425012,1.00395181
2012,3,15,0.99399886,0.99425012
2012,3,16,1.00248281,0.99399886
2012,3,19,1.00837747,1.00248281
2012,3,20,1.00202624,1.00837747
2012,3,21,0.99817009,1.00202624
2012,3,22,0.9948261,0.99817009
2012,3,23,1.00047929,0.9948261
2012,3,26,1.00307692,1.00047929
2012,3,27,1.00327995,1.00307692
2012,3,28,1.00232063,1.00327995
2012,3,29,1.00232603,1.00232063
2012,3,30,1.00019387,1.00232603
2012,4,2,1.00791402,1.00019387
2012,4,3,1.0006844,1.00791402
2012,4,4,1.0002934,1.0006844
2012,4,5,0.99639447,1.0002934
2012,4,6,0.99776373,0.99639447
2012,4,9,0.99922277,0.99776373
2012,4,10,0.99593614,0.99922277
2012,4,11,0.99595259,0.99593614
2012,4,12,1.00115774,0.99595259
2012,4,13,1.00183646,1.00115774
2012,4,16,1.00583317,1.00183646
2012,4,17,1.00224106,1.00583317
2012,4,18,0.99815211,1.00224106
2012,4,19,0.99883427,0.99815211
2012,4,20,1.00684664,0.99883427
2012,4,23,1.00451955,1.00684664
2012,4,24,1.00019654,1.00451955
2012,4,25,0.99520782,1.00019654
2012,4,26,0.99639447,0.99520782
2012,4,27,0.99708511,0.99639447
2012,4,30,1.01090266,0.99708511
2012,5,1,0.99931292,1.01090266
2012,5,2,1.00453559,0.99931292
2012,5,3,1.00078942,1.00453559
2012,5,4,1.00108663,1.00078942
2012,5,7,1.00188044,1.00108663
2012,5,8,1.00317712,1.00188044
2012,5,9,0.99732647,1.00317712
2012,5,10,1.00778365,0.99732647
2012,5,11,1.0031031,1.00778365
2012,5,14,0.99860056,1.0031031
2012,5,15,0.99740778,0.99860056
2012,5,16,0.99523715,0.99740778
2012,5,17,1.00198847,0.99523715
2012,5,18,0.99732276,1.00198847
2012,5,21,1.00779454,0.99732276
2012,5,22,1.00190228,1.00779454
2012,5,23,0.99650803,1.00190228
2012,5,24,0.99830677,0.99650803
2012,5,25,0.9957354,0.99830677
2012,5,28,1.00198748,0.9957354
2012,5,29,1.0070049,1.00198748
2012,5,30,0.99452627,1.0070049
2012,5,31,0.99593617,0.99452627
2012,6,1,0.99831783,0.99593617
2012,6,4,0.99990106,0.99831783
2012,6,5,0.99117387,0.99990106
2012,6,6,1.00295072,0.99117387
2012,6,7,0.99970501,1.00295072
2012,6,8,0.99980338,0.99970501
2012,6,11,0.99559558,0.99980338
2012,6,12,0.99882686,0.99559558
2012,6,13,0.99814598,0.99882686
2012,6,14,0.99582159,0.99814598
2012,6,15,0.99276481,0.99582159
2012,6,18,1,0.99276481
2012,6,19,0.99893996,1
2012,6,20,1.00474438,0.99893996
2012,6,21,1.00242648,1.00474438
2012,6,22,1.00048553,1.00242648
2012,6,25,0.99970877,1.00048553
2012,6,26,0.99738575,0.99970877
2012,6,27,0.99566181,0.99738575
2012,6,28,0.99702038,0.99566181
2012,6,29,0.99846449,0.99702038
2012,7,2,1.00163414,0.99846449
2012,7,3,1,1.00163414
2012,7,4,0.99741131,1
2012,7,5,1.00230636,0.99741131
2012,7,6,1.00067314,1.00230636
2012,7,9,0.9983679,1.00067314
2012,7,10,0.99626973,0.9983679
2012,7,11,1.01219866,0.99626973
2012,7,12,0.99652677,1.01219866
2012,7,13,0.99682631,0.99652677
2012,7,16,0.99645424,0.99682631
2012,7,17,0.9971333,0.99645424
2012,7,18,0.99657176,0.9971333
2012,7,19,0.99971439,0.99657176
2012,7,20,1.00535988,0.99971439
2012,7,23,1.00047879,1.00535988
2012,7,24,0.9980885,1.00047879
2012,7,25,0.99676098,0.9980885
2012,7,26,0.99857306,0.99676098
2012,7,27,0.99961963,0.99857306
2012,7,30,0.99838602,0.99961963
2012,7,31,1.00180711,0.99838602
2012,8,1,0.99781722,1.00180711
2012,8,2,0.99602987,0.99781722
2012,8,3,1.00113561,0.99602987
2012,8,6,1.00475421,1.00113561
2012,8,7,1.00104702,1.00475421
2012,8,8,1.00219403,1.00104702
2012,8,9,1.00047719,1.00219403
2012,8,10,1.00402453,1.00047719
2012,8,13,1.00307574,1.00402453
2012,8,14,1.00154024,1.00307574
2012,8,15,1.00212232,1.00154024
2012,8,16,1.00631007,1.00212232
2012,8,17,0.99815891,1.00631007
2012,8,20,0.99527438,0.99815891
2012,8,21,0.99606148,0.99527438
2012,8,22,1.00356695,0.99606148
2012,8,23,1.00513566,1.00356695
2012,8,24,1.0049664,1.00513566
2012,8,27,1.00165821,1.0049664
2012,8,28,1.00146527,1.00165821
2012,8,29,1.00284091,1.00146527
2012,8,30,1.00255353,1.00284091
2012,8,31,1.00821864,1.00255353
2012,9,3,1.00218319,1.00821864
2012,9,4,0.99841474,1.00218319
2012,9,5,0.99910909,0.99841474
2012,9,6,0.99458502,0.99910909
2012,9,7,1.00564356,0.99458502
2012,9,10,0.99507389,1.00564356
2012,9,11,0.99383139,0.99507389
2012,9,12,1.00029383,0.99383139
2012,9,13,0.99648643,1.00029383
2012,9,14,1.00362425,0.99648643
2012,9,17,1.00245483,1.00362425
2012,9,18,0.99755118,1.00245483
2012,9,19,1.00166797,0.99755118
2012,9,20,0.99853042,1.00166797
2012,9,21,1.00088253,0.99853042
2012,9,24,1.00127639,1.00088253
2012,9,25,0.99686797,1.00127639
2012,9,26,0.9980463,0.99686797
2012,9,27,1.00303743,0.9980463
2012,9,28,1.00304668,1.00303743
2012,10,1,1.00742574,1.00304668
2012,10,2,1.00148736,1.00742574
2012,10,3,1.00478231,1.00148736
2012,10,4,1.00712422,1.00478231
2012,10,5,1.00140675,1.00712422
2012,10,8,0.99719439,1.00140675
2012,10,9,0.99362804,0.99719439
2012,10,10,1.00029878,0.99362804
2012,10,11,1.00149611,1.00029878
2012,10,12,0.99751269,1.00149611
2012,10,15,0.99180975,0.99751269
2012,10,16,0.99842365,0.99180975
2012,10,17,0.99412341,0.99842365
